id;name;persona_type;count;channel_id;product_id;m_2_m
1;male;sex;0;1;1;0
2;female;sex;0;1;1;0
3;0-17;age;0;1;1;0
4;18-24;age;0;1;1;0
5;25-29;age;0;1;1;0
6;30-34;age;0;1;1;0
7;35-39;age;0;1;1;0
8;40-50;age;0;1;1;0
9;北京市;city_sales_number;0;1;1;0
10;天津市;city_sales_number;0;1;1;0
11;河北省;city_sales_number;0;1;1;0
12;山西省;city_sales_number;0;1;1;0
13;内蒙古自治区;city_sales_number;0;1;1;0
14;辽宁省;city_sales_number;0;1;1;0
15;吉林省;city_sales_number;0;1;1;0
16;黑龙江省;city_sales_number;0;1;1;0
17;上海市;city_sales_number;0;1;1;0
18;江苏省;city_sales_number;0;1;1;0
19;浙江省;city_sales_number;0;1;1;0
20;安徽省;city_sales_number;0;1;1;0
21;福建省;city_sales_number;0;1;1;0
22;江西省;city_sales_number;0;1;1;0
23;山东省;city_sales_number;0;1;1;0
24;河南省;city_sales_number;0;1;1;0
25;湖北省;city_sales_number;0;1;1;0
26;湖南省;city_sales_number;0;1;1;0
27;广东省;city_sales_number;0;1;1;0
28;广西壮族自治区;city_sales_number;0;1;1;0
29;海南省;city_sales_number;0;1;1;0
30;重庆市;city_sales_number;0;1;1;0
31;四川省;city_sales_number;0;1;1;0
32;贵州省;city_sales_number;0;1;1;0
33;云南省;city_sales_number;0;1;1;0
34;西藏自治区;city_sales_number;0;1;1;0
35;陕西省;city_sales_number;0;1;1;0
36;甘肃省;city_sales_number;0;1;1;0
37;青海省;city_sales_number;0;1;1;0
38;宁夏回族自治区;city_sales_number;0;1;1;0
39;新疆维吾尔自治区;city_sales_number;0;1;1;0
40;香港特别行政区;city_sales_number;0;1;1;0
41;澳门特别行政区;city_sales_number;0;1;1;0
42;台湾省;city_sales_number;0;1;1;0
43;内蒙古自治区;city_sales_price;0;1;1;0
44;辽宁省;city_sales_price;0;1;1;0
45;吉林省;city_sales_price;0;1;1;0
46;黑龙江省;city_sales_price;0;1;1;0
47;上海市;city_sales_price;0;1;1;0
48;江苏省;city_sales_price;0;1;1;0
49;浙江省;city_sales_price;0;1;1;0
50;安徽省;city_sales_price;0;1;1;0
51;福建省;city_sales_price;0;1;1;0
52;江西省;city_sales_price;0;1;1;0
53;山东省;city_sales_price;0;1;1;0
54;河南省;city_sales_price;0;1;1;0
55;湖北省;city_sales_price;0;1;1;0
56;湖南省;city_sales_price;0;1;1;0
57;广东省;city_sales_price;0;1;1;0
58;广西壮族自治区;city_sales_price;0;1;1;0
59;海南省;city_sales_price;0;1;1;0
60;重庆市;city_sales_price;0;1;1;0
61;四川省;city_sales_price;0;1;1;0
62;贵州省;city_sales_price;0;1;1;0
63;云南省;city_sales_price;0;1;1;0
64;西藏自治区;city_sales_price;0;1;1;0
65;陕西省;city_sales_price;0;1;1;0
66;甘肃省;city_sales_price;0;1;1;0
67;青海省;city_sales_price;0;1;1;0
68;宁夏回族自治区;city_sales_price;0;1;1;0
69;新疆维吾尔自治区;city_sales_price;0;1;1;0
70;香港特别行政区;city_sales_price;0;1;1;0
71;澳门特别行政区;city_sales_price;0;1;1;0
72;台湾省;city_sales_price;0;1;1;0
73;北京市;city_sales_price;0;1;1;0
74;天津市;city_sales_price;0;1;1;0
75;河北省;city_sales_price;0;1;1;0
76;山西省;city_sales_price;0;1;5;0
